iter	Passed	Remaining
237	509	1629
238	510	1625
239	511	1620
240	513	1616
241	514	1612
242	516	1608
243	517	1603
244	519	1599
245	520	1595
246	521	1590
247	523	1587
248	525	1584
249	526	1580
250	528	1576
251	529	1572
252	531	1568
253	532	1563
254	533	1559
255	535	1556
256	537	1552
257	538	1549
258	540	1545
259	541	1541
260	542	1537
261	544	1534
262	546	1530
263	547	1527
264	549	1523
265	550	1519
266	552	1516
267	553	1512
268	555	1509
269	556	1505
270	558	1501
271	559	1497
272	561	1494
273	562	1491
274	564	1487
275	565	1484
276	567	1480
277	568	1476
278	570	1473
279	572	1471
280	573	1467
281	575	1466
282	577	1463
283	579	1459
284	580	1456
285	582	1453
286	583	1450
287	585	1447
288	586	1443
289	588	1440
290	590	1437
291	591	1435
292	593	1432
293	595	1428
294	596	1425
295	598	1423
296	599	1419
297	601	1417
298	603	1414
299	604	1410
300	607	1410
301	609	1408
302	611	1405
303	612	1403
304	614	1400
305	616	1397
306	617	1394
307	619	1391
308	620	1388
309	622	1385
310	624	1382
311	625	1380
312	627	1377
313	629	1374
314	630	1371
315	632	1368
316	633	1365
317	635	1362
318	637	1359
319	638	1357
320	640	1354
321	641	1351
322	643	1349
323	645	1346
324	646	1343
325	648	1340
326	650	1338
327	651	1335
328	654	1333
329	655	1331
330	657	1328
331	658	1325
332	660	1322
333	661	1319
334	663	1317
335	665	1314
336	666	1311
337	668	1309
338	669	1306
339	671	1303
340	673	1301
341	674	1298
342	676	1296
343	678	1293
344	679	1290
345	681	1288
346	683	1286
347	685	1284
348	687	1281
349	688	1279
350	690	1276
351	691	1273
352	693	1270
353	694	1268
354	696	1265
355	698	1262
356	700	1260
357	701	1258
358	703	1256
359	705	1253
360	706	1251
361	708	1248
362	710	1246
363	712	1244
364	714	1242
365	716	1241
366	718	1238
367	719	1236
368	721	1233
369	722	1230
370	724	1227
371	725	1224
372	727	1222
373	728	1219
374	730	1216
375	731	1214
376	733	1211
377	734	1208
378	736	1206
379	737	1203
380	739	1200
381	740	1197
382	741	1195
383	743	1192
384	744	1189
385	746	1187
386	748	1185
387	749	1182
388	751	1179
389	752	1176
390	753	1174
391	755	1171
392	756	1168
393	758	1165
394	759	1163
395	760	1160
396	762	1157
397	763	1155
398	765	1152
399	766	1149
400	767	1147
401	769	1144
402	771	1142
403	772	1140
404	774	1137
405	775	1135
406	777	1132
407	779	1130
408	780	1127
409	781	1124
410	783	1122
411	784	1119
412	786	1117
413	787	1114
414	788	1111
415	790	1109
416	791	1106
417	793	1104
418	794	1101
419	795	1099
420	797	1096
421	798	1093
422	800	1091
423	801	1088
424	802	1086
425	804	1083
426	805	1081
427	806	1078
428	808	1076
429	809	1073
430	811	1070
431	812	1068
432	814	1066
433	815	1063
434	817	1061
435	818	1059
436	820	1056
437	822	1054
438	824	1053
439	826	1051
440	827	1049
441	829	1047
442	831	1045
443	832	1043
444	834	1041
445	836	1039
446	838	1037
447	840	1035
448	842	1033
449	843	1031
450	845	1029
451	846	1026
452	848	1024
453	850	1022
454	851	1020
